,product,category,brand,mrp,sp,discount,sku,description,url
5,foodgrains-oil-masala,Sugar & Jaggery,bb Popular,275.00,216.00,21,30005417,Sugar,/pd/30005417/bb-popular-sugar-5-kg/
6,foodgrains-oil-masala,Sugar & Jaggery,bb Popular,55.00,45.00,18,40019396,Sugar,/pd/40019396/bb-popular-sugar-1-kg/
7,foodgrains-oil-masala,Sugar & Jaggery,bb Popular,110.00,89.00,19,40019397,Sugar,/pd/40019397/bb-popular-sugar-2-kg/
8,foodgrains-oil-masala,Sugar & Jaggery,bb Popular,275.00,216.00,21,30005417,Sugar,/pd/30005417/bb-popular-sugar-5-kg/
31,foodgrains-oil-masala,Atta Whole Wheat,Aashirvaad,490.00,412.00,16,126906,Atta - Whole Wheat,/pd/126906/aashirvaad-atta-whole-wheat-10-kg-pouch/
32,foodgrains-oil-masala,Atta Whole Wheat,Aashirvaad,270.00,268.00,2,126903,Atta - Whole Wheat,/pd/126903/aashirvaad-atta-whole-wheat-5-kg-pouch/
33,foodgrains-oil-masala,Atta Whole Wheat,Aashirvaad,490.00,412.00,16,126906,Atta - Whole Wheat,/pd/126906/aashirvaad-atta-whole-wheat-10-kg-pouch/
58,foodgrains-oil-masala,Raw Rice,bb Royal,700.00,589.00,16,10000404,Raw Rice - Sona Masoori,/pd/10000404/bb-royal-raw-rice-sona-masoori-10-kg-bag/
59,foodgrains-oil-masala,Raw Rice,bb Royal,350.00,298.00,15,10000415,"Rice - Raw, Sona Masoori",/pd/10000415/bb-royal-rice-raw-sona-masoori-5-kg-bag/
60,foodgrains-oil-masala,Raw Rice,bb Royal,1750.00,1428.00,18,20001214,Sona Masoori Raw Rice,/pd/20001214/bb-royal-sona-masoori-raw-rice-25-kg-bag/
77,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,115.00,85.00,26,40072484,Organic - Raw Peanuts,/pd/40072484/bb-royal-organic-raw-peanuts-500-g/
78,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,225.00,165.00,27,40094998,Organic - Raw Peanuts,/pd/40094998/bb-royal-organic-raw-peanuts-1-kg/
79,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,225.00,165.00,27,40094998,Organic - Raw Peanuts,/pd/40094998/bb-royal-organic-raw-peanuts-1-kg/
80,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,199.00,129.00,35,40098409,Organic Kabuli Chana/Channa,/pd/40098409/bb-royal-organic-kabuli-chanachanna-1-kg/
81,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,375.00,249.00,34,40168526,Organic Kabuli Chana/Channa,/pd/40168526/bb-royal-organic-kabuli-chanachanna-2-kg/
82,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,100.00,66.00,34,40072455,Organic Kabuli Chana/Channa,/pd/40072455/bb-royal-organic-kabuli-chanachanna-500-g/
83,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,199.00,129.00,35,40098409,Organic Kabuli Chana/Channa,/pd/40098409/bb-royal-organic-kabuli-chanachanna-1-kg/
84,foodgrains-oil-masala,Urad & Other Dals,bb Popular,120.00,112.00,8,30010365,Masoor Dal,/pd/30010365/bb-popular-masoor-dal-1-kg-pouch/
85,foodgrains-oil-masala,Urad & Other Dals,bb Popular,75.00,59.00,21,30010366,Masoor Dal,/pd/30010366/bb-popular-masoor-dal-500-g-pouch/
86,foodgrains-oil-masala,Urad & Other Dals,bb Popular,75.00,59.00,21,30010366,Masoor Dal,/pd/30010366/bb-popular-masoor-dal-500-g-pouch/
87,foodgrains-oil-masala,Raw Rice,bb Combo,615.00,451.00,27,1200068,bb Royal Idli Rice 5kg + Gota Urad 1kg + Raw Peanut 500g,/pd/1200068/bb-combo-bb-royal-idli-rice-5kg-gota-urad-1kg-raw-peanut-500g-combo/
88,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Royal,200.00,181.00,19,10000434,Moong Dal,/pd/10000434/bb-royal-moong-dal-1-kg-pouch/
89,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,225.00,175.00,22,40072478,"Organic - Moong Dal, Unpolished",/pd/40072478/bb-royal-organic-moong-dal-unpolished-1-kg/
90,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,175.00,115.00,34,40072468,Organic - Chana Dal/Channa Unpolished,/pd/40072468/bb-royal-organic-chana-dalchanna-unpolished-1-kg/
91,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,90.00,59.00,34,40072469,Organic - Chana Dal/Channa Unpolished,/pd/40072469/bb-royal-organic-chana-dalchanna-unpolished-500-g/
92,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,90.00,59.00,34,40072469,Organic - Chana Dal/Channa Unpolished,/pd/40072469/bb-royal-organic-chana-dalchanna-unpolished-500-g/
93,foodgrains-oil-masala,Urad & Other Dals,bb Royal,80.00,63.00,21,10000441,Peas/Matar - White,/pd/10000441/bb-royal-peasmatar-white-500-g-pouch/
94,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Royal,190.00,119.00,37,10000802,Channa - Kabuli,/pd/10000802/bb-royal-channa-kabuli-1-kg-pouch/
95,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Royal,95.00,64.00,33,10000461,Channa - Kabuli,/pd/10000461/bb-royal-channa-kabuli-500-g-pouch/
96,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Royal,190.00,119.00,37,10000802,Channa - Kabuli,/pd/10000802/bb-royal-channa-kabuli-1-kg-pouch/
97,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Popular,150.00,100.00,33,20000432,Channa Dal,/pd/20000432/bb-popular-channa-dal-1-kg-pouch/
98,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Popular,75.00,51.00,32,20000540,Channa Dal,/pd/20000540/bb-popular-channa-dal-500-g-pouch/
99,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Popular,150.00,100.00,33,20000432,Channa Dal,/pd/20000432/bb-popular-channa-dal-1-kg-pouch/
100,foodgrains-oil-masala,Urad & Other Dals,bb Popular,85.00,64.00,25,20000538,Urad Gota - Whole,/pd/20000538/bb-popular-urad-gota-whole-500-g-pouch/
101,foodgrains-oil-masala,Urad & Other Dals,bb Popular,200.00,126.00,37,20000539,Urad Gota - Whole,/pd/20000539/bb-popular-urad-gota-whole-1-kg-pouch/
102,foodgrains-oil-masala,Urad & Other Dals,bb Popular,320.00,252.00,21,60000012,Urad Gota - Whole,/pd/60000012/bb-popular-urad-gota-whole-2-kg-pouch/
103,foodgrains-oil-masala,Urad & Other Dals,bb Popular,200.00,126.00,37,20000539,Urad Gota - Whole,/pd/20000539/bb-popular-urad-gota-whole-1-kg-pouch/
104,foodgrains-oil-masala,Urad & Other Dals,bb Royal,200.00,151.00,25,70001288,Rajma - Red,/pd/70001288/bb-royal-rajma-red-1-kg-pouch/
105,foodgrains-oil-masala,Urad & Other Dals,bb Royal,100.00,79.00,21,10000435,Rajma - Red,/pd/10000435/bb-royal-rajma-red-500-g-pouch/
106,foodgrains-oil-masala,Urad & Other Dals,bb Royal,200.00,151.00,25,70001288,Rajma - Red,/pd/70001288/bb-royal-rajma-red-1-kg-pouch/
107,foodgrains-oil-masala,Urad & Other Dals,Tata Sampann,200.00,184.00,16,40017976,Urad Dal Whole White,/pd/40017976/tata-sampann-urad-dal-whole-white-1-kg/
108,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Popular,140.00,77.00,45,70001280,Channa - Brown,/pd/70001280/bb-popular-channa-brown-1-kg-pouch/
109,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Popular,30.00,17.00,43,40003553,Channa - Brown,/pd/40003553/bb-popular-channa-brown-200-g-pouch/
110,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Popular,140.00,77.00,45,70001280,Channa - Brown,/pd/70001280/bb-popular-channa-brown-1-kg-pouch/
111,foodgrains-oil-masala,Urad & Other Dals,bb Royal,75.00,66.00,12,10000476,Rajma - Kashmiri,/pd/10000476/bb-royal-rajma-kashmiri-500-g-pouch/
112,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,435.00,339.00,22,40135845,Organic - Green Moong Whole,/pd/40135845/bb-royal-organic-green-moong-whole-2-kg/
113,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,220.00,175.00,20,40072471,Organic - Green Moong Whole,/pd/40072471/bb-royal-organic-green-moong-whole-1-kg/
114,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,435.00,339.00,22,40135845,Organic - Green Moong Whole,/pd/40135845/bb-royal-organic-green-moong-whole-2-kg/
115,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Combo,450.00,329.00,27,1206907,BB Popular Channa Dal 1 kg + Urad Dal - Split 1 kg+BB Royal Rice - Dosa 2 kg,/pd/1206907/bb-combo-bb-popular-channa-dal-1-kg-urad-dal-split-1-kgbb-royal-rice-dosa-2-kg-combo/
116,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Royal,180.00,144.00,20,40026594,Green Moong Split/Chilka,/pd/40026594/bb-royal-green-moong-splitchilka-1-kg-pouch/
117,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,219.00,159.00,27,40135844,Organic - Green Moong Dal (Split),/pd/40135844/bb-royal-organic-green-moong-dal-split-1-kg/
118,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,110.00,85.00,23,40072501,Organic - Green Moong Dal (Split),/pd/40072501/bb-royal-organic-green-moong-dal-split-500-g/
119,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,110.00,85.00,23,40072501,Organic - Green Moong Dal (Split),/pd/40072501/bb-royal-organic-green-moong-dal-split-500-g/
120,foodgrains-oil-masala,Urad & Other Dals,bb Royal,70.00,62.00,11,10000571,"Masoor - Black, Whole/Sabut",/pd/10000571/bb-royal-masoor-black-wholesabut-500-g-pouch/
121,foodgrains-oil-masala,"Toor, Channa & Moong Dal",Tata Sampann,190.00,182.40,8,30002287,Moong Dal,/pd/30002287/tata-sampann-moong-dal-1-kg/
122,foodgrains-oil-masala,Cereals & Millets,bb Royal,75.00,68.00,9,40053938,Popcorn - Seeds,/pd/40053938/bb-royal-popcorn-seeds-500-g/
123,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,279.00,229.00,18,40135856,"Organic - Red Masoor Dal, Unpolished",/pd/40135856/bb-royal-organic-red-masoor-dal-unpolished-2-kg/
124,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,140.00,119.00,15,40072458,"Organic - Red Masoor Dal, Unpolished",/pd/40072458/bb-royal-organic-red-masoor-dal-unpolished-1-kg/
125,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,140.00,119.00,15,40072458,"Organic - Red Masoor Dal, Unpolished",/pd/40072458/bb-royal-organic-red-masoor-dal-unpolished-1-kg/
126,foodgrains-oil-masala,Urad & Other Dals,bb Royal,130.00,130.00,,10000424,Green Peas/Matar,/pd/10000424/bb-royal-green-peasmatar-500-g-pouch/
127,foodgrains-oil-masala,Urad & Other Dals,bb Royal,250.00,147.00,41,70001283,Green Peas/Matar,/pd/70001283/bb-royal-green-peasmatar-1-kg-pouch/
128,foodgrains-oil-masala,Urad & Other Dals,bb Royal,130.00,130.00,,10000424,Green Peas/Matar,/pd/10000424/bb-royal-green-peasmatar-500-g-pouch/
129,foodgrains-oil-masala,Urad & Other Dals,bb Royal,90.00,51.00,43,10000436,Horse Gram/Kulthi,/pd/10000436/bb-royal-horse-gramkulthi-500-g-pouch/
130,foodgrains-oil-masala,Urad & Other Dals,bb Royal,80.00,57.00,29,10000470,Lobia - White,/pd/10000470/bb-royal-lobia-white-500-g-pouch/
131,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,230.00,169.00,27,40072496,"Organic - Urad Whole (Gota), Unpolished",/pd/40072496/bb-royal-organic-urad-whole-gota-unpolished-1-kg/
132,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,450.00,335.00,26,40109381,"Organic - Urad Whole (Gota), Unpolished",/pd/40109381/bb-royal-organic-urad-whole-gota-unpolished-2-kg/
133,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,230.00,169.00,27,40072496,"Organic - Urad Whole (Gota), Unpolished",/pd/40072496/bb-royal-organic-urad-whole-gota-unpolished-1-kg/
134,foodgrains-oil-masala,Urad & Other Dals,bb Royal,90.00,77.00,14,10000477,"Urad - Black, Whole/Sabut",/pd/10000477/bb-royal-urad-black-wholesabut-500-g-pouch/
135,foodgrains-oil-masala,Urad & Other Dals,bb Royal,35.00,35.00,,30000125,"Urad - Black, Whole/Sabut",/pd/30000125/bb-royal-urad-black-wholesabut-200-g-pouch/
136,foodgrains-oil-masala,Urad & Other Dals,bb Royal,90.00,77.00,14,10000477,"Urad - Black, Whole/Sabut",/pd/10000477/bb-royal-urad-black-wholesabut-500-g-pouch/
137,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,91.00,78.00,14,40072500,Organic - Urad Dal Black (Split),/pd/40072500/bb-royal-organic-urad-dal-black-split-500-g/
138,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Royal,210.00,165.00,21,60000616,Moong Dal Unpolished,/pd/60000616/bb-royal-moong-dal-unpolished-1-kg-pouch/
139,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Popular,170.00,145.00,15,30010368,"Moong - Green, Whole/Sabut",/pd/30010368/bb-popular-moong-green-wholesabut-1-kg-pouch/
140,foodgrains-oil-masala,Urad & Other Dals,bb Royal,70.00,66.00,6,40045372,Red Masoor Dal Whole,/pd/40045372/bb-royal-red-masoor-dal-whole-500-g-pouch/
141,foodgrains-oil-masala,Urad & Other Dals,bb Royal,140.00,119.00,15,40045373,Red Masoor Dal Whole,/pd/40045373/bb-royal-red-masoor-dal-whole-1-kg-pouch/
142,foodgrains-oil-masala,Urad & Other Dals,bb Royal,140.00,119.00,15,40045373,Red Masoor Dal Whole,/pd/40045373/bb-royal-red-masoor-dal-whole-1-kg-pouch/
143,foodgrains-oil-masala,Urad & Other Dals,bb Royal,220.00,149.00,32,60000721,Urad Whole/Gota Unpolished,/pd/60000721/bb-royal-urad-wholegota-unpolished-1-kg-pouch/
144,foodgrains-oil-masala,Urad & Other Dals,bb Royal,110.00,78.00,29,60000722,Urad Whole/Gota Unpolished,/pd/60000722/bb-royal-urad-wholegota-unpolished-500-g-pouch/
145,foodgrains-oil-masala,Urad & Other Dals,bb Royal,220.00,149.00,32,60000721,Urad Whole/Gota Unpolished,/pd/60000721/bb-royal-urad-wholegota-unpolished-1-kg-pouch/
146,foodgrains-oil-masala,Urad & Other Dals,bb Royal,90.00,84.00,7,40026713,Whole Fried Gram,/pd/40026713/bb-royal-whole-fried-gram-500-g-pouch/
147,foodgrains-oil-masala,Urad & Other Dals,bb Royal,180.00,161.00,11,40128951,Fried Gram - Whole,/pd/40128951/bb-royal-fried-gram-whole-1-kg/
148,foodgrains-oil-masala,Urad & Other Dals,bb Royal,180.00,161.00,11,40128951,Fried Gram - Whole,/pd/40128951/bb-royal-fried-gram-whole-1-kg/
149,foodgrains-oil-masala,"Organic Rice, Other Rice",bb Royal,259.00,219.00,15,40135843,Organic - Foxtail Millet / Italian (Thinai Rice),/pd/40135843/bb-royal-organic-foxtail-millet-italian-thinai-rice-2-kg/
150,foodgrains-oil-masala,"Organic Rice, Other Rice",bb Royal,599.00,429.00,28,40177403,Organic - Foxtail Millet / Italian (Thinai Rice),/pd/40177403/bb-royal-organic-foxtail-millet-italian-thinai-rice-5-kg/
151,foodgrains-oil-masala,"Organic Rice, Other Rice",bb Royal,599.00,429.00,28,40177403,Organic - Foxtail Millet / Italian (Thinai Rice),/pd/40177403/bb-royal-organic-foxtail-millet-italian-thinai-rice-5-kg/
152,foodgrains-oil-masala,"Toor, Channa & Moong Dal",Tata Sampann,125.00,118.75,6,40000290,Channa Dal,/pd/40000290/tata-sampann-channa-dal-1-kg/
153,foodgrains-oil-masala,Urad & Other Dals,bb Royal,90.00,77.00,14,10000474,"Urad - Black, Split/Chilka",/pd/10000474/bb-royal-urad-black-splitchilka-500-g-pouch/
